category,name,url
Indian News Organisations,Indian Express,https://indianexpress.com/
Indian News Organisations,The Hindu,https://www.thehindu.com/
Indian News Organisations,Deccan Herald,https://www.deccanherald.com/
Indian News Organisations,Newslaundry,https://www.newslaundry.com/
Indian News Organisations,The News Minute,https://www.thenewsminute.com/
Indian News Organisations,The Wire,https://thewire.in/
Indian News Organisations,The Quint,https://www.thequint.com/
Indian News Organisations,The Scroll,https://scroll.in/
Indian Government Sources,@pib_india,https://x.com/pib_india?s=11
Indian Government Sources,@spokespersonmod,https://x.com/spokespersonmod?s=11
Indian Government Sources,@pibfactcheck,https://x.com/pibfactcheck?s=11
Indian Government Sources,@adgpi,https://x.com/adgpi?s=11
Indian Government Sources,PIB India (YouTube),https://www.youtube.com/@pibindia/streams
International News Organisations,Associated Press,https://apnews.com/
International News Organisations,CNN,https://edition.cnn.com/
International News Organisations,NY Times,https://www.nytimes.com/international/
International News Organisations,Reuters,https://www.reuters.com/
International News Organisations,NPR,https://www.npr.org/
International News Organisations,BBC,https://www.bbc.com/
Fact-Checkers & Journalists,Alt News,https://www.altnews.in/
Fact-Checkers & Journalists,Mohammed Zubair,https://x.com/zoo_bear
Fact-Checkers & Journalists,Maktoob Media,https://maktoobmedia.com/
Fact-Checkers & Journalists,Ravish Kumar,https://www.youtube.com/@ravishkumar.official 
